"FOLIO","VIV_SEL","HOGAR","C_DENEVI","P3A2_2","P3A2_3","P3A3","P3A4","P3A5","P3A6","P3A7","P3A8_1","P3A8_2","P3A8_3","P3A9","P3A10","P3A11","ENT","TLOC","EST_DIS","UPM_DIS","FACTOR"
"0000181","01","1","1","01","","4","4","","03","2","","","","","","","01","1","003","0000181",225
"0000181","02","1","1","01","","3","2","","05","","2","","","2","2","1","01","1","003","0000181",225
"0000182","03","1","1","02","","3","2","","03","","2","","","3","2","2","01","1","002","0000182",223
"0000184","04","1","1","01","","2","2","","05","","2","","","3","2","2","01","1","001","0000184",232
"0000187","01","1","1","01","","3","2","","06","","2","","","2","2","1","01","1","003","0000187",214
"0000187","02","1","1","03","","3","1","5","","","","","","","","","01","1","003","0000187",214
"0000187","04","1","1","02","","2","3","","03","","1","","","2","2","1","01","1","003","0000187",214
"0000188","02","1","1","04","","2","2","","05","","2","","","3","2","1","01","1","003","0000188",225
"0000192","01","1","1","01","","1","3","","05","","1","","","3","1","","01","1","003","0000192",215
"0000194","02","1","1","03","","2","2","","05","","2","","","2","1","","01","1","001","0000194",235
"0000195","01","1","1","01","","3","4","","05","2","","","","","","","01","1","003","0000195",252
"0000198","02","1","1","01","02","2","3","","05","","1","","","2","2","1","01","1","001","0000198",208
"0000198","03","1","1","02","","3","2","","05","","2","","","3","2","9","01","1","001","0000198",208
"0000198","03","1","2","03","","3","2","","01","","2","","","2","2","1","01","1","001","0000198",208
"0000198","03","1","3","04","","3","2","","01","","2","","","3","1","","01","1","001","0000198",208
"0000201","01","1","1","01","","3","3","","01","","2","","","3","2","2","01","1","003","0000201",231
"0000204","03","1","1","01","","3","4","","07","2","","","","","","","01","1","003","0000204",221
"0000205","01","1","1","01","","4","3","","05","","4","","","4","1","","01","1","002","0000205",178
"0000205","04","1","1","01","","3","3","","02","","2","","","3","2","1","01","1","002","0000205",178
"0000205","05","1","1","01","","3","4","","05","1","1","","","9","1","","01","1","002","0000205",178
"0000207","05","1","1","02","01","3","2","","05","","4","","","4","2","1","01","1","001","0000207",216
"0000208","02","1","1","02","","3","9","","","","","","","","","","01","1","003","0000208",243
"0000208","03","1","1","01","","2","4","","01","1","9","","","9","9","","01","1","003","0000208",243
"0000209","01","1","1","01","","3","3","","02","","2","","","9","1","","01","1","002","0000209",189
"0000209","04","1","1","01","","3","4","","07","1","1","","","9","2","9","01","1","002","0000209",189
"0000209","05","1","1","02","","3","1","6","","","","","","","","","01","1","002","0000209",189
"0000210","01","1","1","01","","1","1","2","","","","","","","","","01","1","001","0000210",201
"0000210","04","1","1","01","","3","2","","05","","1","","","3","1","","01","1","001","0000210",201
"0000213","01","1","1","02","","2","2","","02","","2","","","3","2","1","01","1","003","0000213",260
"0000214","05","1","1","01","","2","4","","03","1","1","","","9","1","","01","1","002","0000214",220
"0000215","04","1","1","04","","3","3","","05","","2","","","3","1","","01","1","001","0000215",206
"0000216","03","1","1","02","","3","3","","01","","2","","","3","1","","01","1","001","0000216",211
"0000216","04","1","1","01","","4","3","","01","","2","","","4","2","1","01","1","001","0000216",211
"0000217","01","1","1","03","","3","2","","05","","2","","","3","1","","01","1","003","0000217",219
"0000219","04","1","1","02","","4","3","","03","","1","","","3","2","1","01","1","001","0000219",232
"0000220","04","1","1","01","02","2","2","","05","","1","","","5","1","","01","1","001","0000220",98
"0000221","02","1","1","01","","2","9","","","","","","","","","","01","1","001","0000221",204
"0000224","05","1","1","01","","2","2","","05","","2","","","3","1","","01","1","002","0000224",220
"0000226","04","1","1","02","","2","1","5","","","","","","","","","01","1","001","0000226",313
"0000227","02","1","1","01","03","2","3","","05","","2","","","2","2","1","01","1","002","0000227",187
"0000227","02","1","2","03","","2","3","","05","","2","","","2","2","1","01","1","002","0000227",187
"0000227","04","1","1","01","","3","2","","05","","2","","","3","2","1","01","1","002","0000227",187
"0000228","03","1","1","01","","2","4","","05","2","","","","","","","01","1","003","0000228",231
"0000228","04","1","1","03","","2","2","","05","","2","","","9","2","2","01","1","003","0000228",231
"0000228","04","1","2","04","","2","2","","05","","2","","","9","2","3","01","1","003","0000228",231
"0000229","01","1","1","02","","3","2","","01","","2","4","","5","2","1","01","1","003","0000229",227
"0000230","03","1","1","03","","3","3","","02","","2","","","5","1","","01","1","003","0000230",250
"0000231","04","1","1","01","","3","4","","01","2","","","","","","","01","1","003","0000231",227
"0000232","01","1","1","01","","3","3","","05","","1","","","3","2","1","01","1","001","0000232",191
"0000232","04","1","1","01","","3","1","2","","","","","","","","","01","1","001","0000232",191
"0000233","02","1","1","02","","3","3","","02","","2","","","2","2","1","01","1","001","0000233",227
"0000234","01","2","1","02","","2","2","","05","","1","","","2","2","1","01","1","001","0000234",217
"0000235","03","1","1","01","","2","3","","05","","2","","","2","1","","01","1","001","0000235",226
"0000236","04","1","1","01","","3","3","","05","","2","","","3","1","","01","1","001","0000236",216
"0000237","02","1","1","01","","2","2","","03","","2","","","2","2","1","01","1","001","0000237",241
"0000237","05","1","1","01","","2","4","","03","1","3","","","3","2","1","01","1","001","0000237",241
"0000238","01","1","1","01","","2","3","","05","","3","","","2","1","","01","1","001","0000238",202
"0000238","05","1","1","01","02","3","3","","06","","2","","","2","1","","01","1","001","0000238",202
"0000244","04","1","1","01","","3","3","","05","","2","","","4","1","","01","2","004","0000244",311
"0000244","05","1","1","01","","2","4","","05","2","","","","","","","01","2","004","0000244",311
"0000246","02","1","1","03","","3","9","","","","","","","","","","01","2","004","0000246",244
"0000247","04","1","1","03","05","4","4","","07","2","","","","","","","01","2","004","0000247",173
"0000247","04","1","2","05","","4","4","","05","2","","","","","","","01","2","004","0000247",173
"0000247","05","2","1","01","","2","1","5","","","","","","","","","01","2","004","0000247",173
"0000248","03","1","1","02","","3","3","","05","","2","","","3","1","","01","2","004","0000248",182
"0000250","01","1","1","04","","1","4","","05","1","1","","","9","2","9","01","2","004","0000250",184
"0000250","02","1","1","03","","2","4","","01","2","","","","","","","01","2","004","0000250",184
"0000250","04","1","1","02","","3","4","","05","2","","","","","","","01","2","004","0000250",184
"0000252","04","1","1","02","","2","3","","01","","1","2","4","4","2","1","01","2","005","0000252",215
"0000252","04","1","2","02","","2","1","1","","","","","","","","","01","2","005","0000252",215
"0000254","04","2","1","01","","2","9","","","","","","","","","","01","2","007","0000254",196
"0000254","09","1","1","01","","2","4","","05","1","1","","","1","1","","01","2","007","0000254",196
"0000254","13","1","1","03","","1","4","","05","1","1","","","1","1","","01","2","007","0000254",196
"0000254","14","1","1","01","","3","1","4","","","","","","","","","01","2","007","0000254",196
"0000254","18","1","1","01","","3","4","","05","2","","","","","","","01","2","007","0000254",196
"0000255","05","1","1","01","","3","9","","","","","","","","","","01","2","008","0000255",202
"0000256","01","1","1","04","","2","2","","05","","2","","","2","2","1","01","2","007","0000256",151
"0000256","13","1","1","02","","4","9","","","","","","","","","","01","2","007","0000256",151
"0000256","17","1","1","01","","1","2","","01","","4","","","4","1","","01","2","007","0000256",151
"0000256","18","1","1","03","","2","3","","05","","9","","","2","2","9","01","2","007","0000256",151
"0000257","03","1","1","02","","1","3","","05","","1","2","","3","2","1","01","2","007","0000257",163
"0000257","08","1","1","03","","2","3","","05","","2","","","9","2","1","01","2","007","0000257",163
"0000257","09","1","1","01","","2","3","","05","","2","","","2","2","1","01","2","007","0000257",163
"0000257","15","1","1","01","","3","9","","","","","","","","","","01","2","007","0000257",163
"0000258","07","1","1","01","","2","4","","05","1","8","","","2","1","","01","2","007","0000258",169
"0000259","09","1","1","03","04","2","2","","02","","2","","","3","1","","01","2","008","0000259",230
"0000259","09","1","2","04","","3","4","","05","1","1","","","3","1","","01","2","008","0000259",230
"0000259","14","1","1","01","","3","3","","02","","2","","","4","2","1","01","2","008","0000259",230
"0000259","15","1","1","01","","3","1","5","","","","","","","","","01","2","008","0000259",230
"0000260","15","1","1","01","","2","4","","05","1","3","","","3","2","1","01","3","010","0000260",215
"0000260","17","1","1","01","","2","2","","03","","2","","","2","1","","01","3","010","0000260",215
"0000261","15","1","1","01","","2","3","","05","","1","","","2","1","","01","3","010","0000261",176
"0000262","04","1","1","01","","3","4","","05","2","","","","","","","01","3","006","0000262",168
"0000263","06","1","1","01","","3","4","","01","2","","","","","","","01","3","009","0000263",216
"0000263","10","1","1","02","","3","4","","07","1","1","","","2","1","","01","3","009","0000263",216
"0000263","15","1","1","01","","2","4","","01","1","1","","","3","9","","01","3","009","0000263",216
"0000264","14","1","1","01","","3","2","","07","","2","","","3","1","","01","3","009","0000264",216
"0000267","01","1","1","02","","3","2","","05","","2","","","5","1","","01","3","010","0000267",311
"0000267","02","1","1","01","","3","4","","05","1","4","","","3","2","1","01","3","010","0000267",311
"0000267","16","1","1","01","","3","4","","05","1","1","","","5","2","1","01","3","010","0000267",311
"0000267","18","2","1","01","","3","2","","05","","2","","","4","2","3","01","3","010","0000267",311
"0000269","07","1","1","04","","2","4","","05","2","","","","","","","01","3","010","0000269",197
"0000271","06","1","1","01","","3","2","","05","","2","","","3","1","","01","4","011","0000271",193
"0000271","15","1","1","04","","3","4","","05","1","1","","","9","1","","01","4","011","0000271",193
"0000272","08","1","1","03","","1","1","6","","","","","","","","","01","4","011","0000272",234
"0000272","08","1","2","04","","1","1","6","","","","","","","","","01","4","011","0000272",234
"0000273","02","1","1","01","","3","4","","08","1","1","","","2","1","","01","4","011","0000273",245
"0000274","05","1","1","01","","4","4","","05","1","1","","","2","1","","01","4","011","0000274",158
"0000274","12","1","1","03","","2","1","5","","","","","","","","","01","4","011","0000274",158
"0000274","13","1","1","07","","2","4","","02","1","2","","","2","2","1","01","4","011","0000274",158
"0000274","19","1","1","04","","3","9","","","","","","","","","","01","4","011","0000274",158
"0000275","03","1","1","01","","3","2","","05","","2","","","3","1","","01","4","011","0000275",161
"0000276","03","1","1","01","02","3","4","","05","1","1","","","2","1","","01","4","011","0000276",184
"0000276","07","1","1","01","","3","3","","01","","2","","","2","2","1","01","4","011","0000276",184
"0000276","08","1","1","01","","3","2","","01","","2","","","2","1","","01","4","011","0000276",184
"0000276","11","1","1","03","","3","4","","05","1","1","","","1","1","","01","4","011","0000276",184
